date,team1,team2
23/05/2025 21:45,Como,Inter Milan
23/05/2025 21:45,Napoli,Cagliari
23/05/2025 20:30,CFR Cluj,FCSB
23/05/2025 22:00,Betis,Valencia
23/05/2025 21:45,Cercle Brugge,Patro Eisden
23/05/2025 20:30,Austria Klagenfurt,TSV Hartberg
24/05/2025 21:00,Arminia Bielefeld,Stuttgart
23/05/2025 21:30,Saarbrucken,Eintracht Braunschweig
24/05/2025 17:15,Real Madrid,Real Sociedad
24/05/2025 21:00,Universitatea Craiova,Dinamo Bucuresti
24/05/2025 18:00,U Cluj,Rapid Bucuresti
25/05/2025 15:00,Poli Iasi,Metaloglobus Bucuresti
26/05/2025 20:00,Voluntari,Unirea Slobozia
31/05/2025 22:00,PSG,Inter Milan
25/05/2025 18:00,Liverpool,Crystal Palace
25/05/2025 18:00,Bournemouth,Leicester
25/05/2025 18:00,Manchester United,Aston Villa
25/05/2025 18:00,Fulham,Manchester City
25/05/2025 18:00,Ipswich,West Ham
25/05/2025 18:00,Wolverhampton,Brentford
25/05/2025 18:00,Newcastle,Everton
25/05/2025 18:00,Tottenham,Brighton
25/05/2025 18:00,Nottingham Forest,Chelsea
25/05/2025 18:00,Southampton,Arsenal
24/05/2025 19:30,Espanyol,Las Palmas
24/05/2025 19:30,Leganes,Real Valladolid
24/05/2025 22:00,Getafe,Celta Vigo
24/05/2025 22:00,Alaves,Osasuna
24/05/2025 22:00,Rayo Vallecano,Mallorca
25/05/2025 15:00,Girona,Atletico Madrid
25/05/2025 17:15,Villarreal,Sevilla
25/05/2025 22:00,Athletic Bilbao,Barcelona
26/05/2025 21:30,Elversberg,Heidenheim
24/05/2025 19:00,Bologna,Genoa
24/05/2025 21:45,AC Milan,Monza
25/05/2025 21:45,Lazio,Lecce
25/05/2025 21:45,Torino FC,AS Roma
25/05/2025 21:45,Atalanta,Parma
25/05/2025 21:45,Udinese,Fiorentina
25/05/2025 21:45,Empoli,Verona
25/05/2025 21:45,Venezia,Juventus
29/05/2025 21:30,Reims,Metz
24/05/2025 22:00,PSG,Reims
25/05/2025 19:30,Royale Union SG,Gent
25/05/2025 19:30,Club Brugge,Antwerp
25/05/2025 19:30,Genk,Anderlecht
24/05/2025 21:00,Charleroi,Leuven
24/05/2025 21:00,Dender,Mechelen
24/05/2025 21:00,Westerlo,Standard Liege
25/05/2025 19:00,AZ Alkmaar,Twente
23/05/2025 21:00,Telstar,Den Bosch
24/05/2025 21:00,Willem II Tilburg,Dordrecht
24/05/2025 17:00,Sheffield United,Sunderland
24/05/2025 19:30,Albacete,Racing Ferrol
25/05/2025 19:30,Burgos,Levante
